Date,AC,MER,SM
01/04/2010,250,195.977,173.333
01/05/2010,250,201.856,173.333
01/06/2010,250,200.876,170.667
01/07/2010,247.917,203.816,173.333
01/08/2010,247.917,199.896,172
01/11/2010,250,200.876,173.333
01/12/2010,250,197.936,174.667
01/13/2010,252.083,194.017,173.333
01/14/2010,252.083,194.017,173.333
01/15/2010,250,193.037,173.333
01/18/2010,250,189.117,173.333
01/19/2010,250,188.138,172
01/20/2010,250,189.117,170.667
01/21/2010,247.917,188.138,172
01/22/2010,239.583,172.459,173.333
01/25/2010,235.417,165.6,165.333
01/26/2010,239.583,162.661,168
01/27/2010,241.667,161.681,166.667
01/28/2010,245.833,160.701,166.667
01/29/2010,241.667,158.741,169.333
02/01/2010,231.25,148.942,169.333
02/02/2010,227.083,150.902,165.333
02/03/2010,231.25,155.801,165.333
02/04/2010,231.25,164.62,170.667
02/05/2010,218.75,156.781,176
02/08/2010,220.833,159.721,176
02/09/2010,216.667,153.842,176
02/10/2010,222.917,160.701,176
02/11/2010,229.167,166.58,178.667
02/12/2010,231.25,168.54,186.667
02/15/2010,229.167,166.58,188
02/16/2010,231.25,164.62,192
02/17/2010,239.583,166.58,192
02/18/2010,245.833,164.62,197.333
02/19/2010,243.75,158.741,190.667
02/22/2010,245.833,159.721,189.333
02/23/2010,241.667,162.661,193.333
02/24/2010,239.583,166.58,193.333
02/25/2010,245.833,173.439,192
02/26/2010,243.75,176.379,193.333
03/01/2010,245.833,178.339,193.333
03/02/2010,247.917,173.439,194.667
03/03/2010,245.833,173.439,192
03/04/2010,243.75,166.58,193.333
03/05/2010,243.75,174.419,190.667
03/08/2010,250,180.298,193.333
03/09/2010,247.917,178.339,196
03/10/2010,250,179.319,197.333
03/11/2010,252.083,178.339,196
03/12/2010,250,169.52,194.667
03/15/2010,250,171.48,194.667
03/16/2010,247.917,176.379,196
03/17/2010,243.75,174.419,194.667
03/18/2010,245.833,179.319,194.667
03/19/2010,247.917,181.278,194.667
03/22/2010,245.833,174.419,194.667
03/23/2010,247.917,178.339,196
03/24/2010,254.167,177.359,198.667
03/25/2010,264.583,182.258,198.667
03/26/2010,268.75,181.278,196
03/29/2010,268.75,176.379,197.333
03/30/2010,275,178.339,197.333
03/31/2010,277.083,172.459,197.333
04/05/2010,281.25,176.379,197.333
04/06/2010,289.583,179.319,198.667
04/07/2010,295.833,179.319,201.333
04/08/2010,289.583,176.379,206.667
04/12/2010,293.75,175.399,209.333
04/13/2010,289.583,173.439,214.667
04/14/2010,287.5,172.459,213.333
04/15/2010,285.417,171.48,212
04/16/2010,275,170.5,212
04/19/2010,266.667,165.6,212
04/20/2010,256.25,161.681,206.667
04/21/2010,266.667,167.56,205.333
04/22/2010,279.167,165.6,210.667
04/23/2010,289.583,170.5,212
04/26/2010,293.75,172.459,212
04/27/2010,293.75,172.459,212
04/28/2010,285.417,169.52,213.333
04/29/2010,285.417,169.52,210.667
04/30/2010,283.333,172.459,209.333
05/04/2010,283.333,167.56,212
05/05/2010,270.833,163.64,213.333
05/06/2010,268.75,162.661,208
05/07/2010,266.667,164.62,205.333
05/11/2010,270.833,169.52,204
05/12/2010,275,167.56,209.333
05/13/2010,272.917,168.54,206.667
05/14/2010,268.75,163.64,206.667
05/17/2010,264.583,163.64,213.333
05/18/2010,266.667,162.661,212
05/19/2010,266.667,161.681,212
05/20/2010,266.667,160.701,210.667
05/21/2010,262.5,159.721,209.333
05/24/2010,270.833,165.6,206.667
05/25/2010,266.667,164.62,208
05/26/2010,266.667,172.459,198.667
05/27/2010,268.75,166.58,197.333
05/28/2010,279.167,170.5,202.667
05/31/2010,275,175.399,212
06/01/2010,275,175.399,212
06/02/2010,270.833,173.439,208
06/03/2010,279.167,188.138,209.333
