toinc,ttotex
480332,282828
198235,185266
82785,92814
107589,111056
189322,152047
152883,112913
198621,168618
134961,158115
171152,104363
625753,316707
147005,129516
253130,165924
101111,117356
128214,124177
91525,74415
171742,110548
95385,117609
142843,123661
88170,98084
97018,114503
123015,128326
100900,101816
153312,237994
96814,94699
91785,103189
83600,93721
84330,69389
164830,137621
87612,119868
96862,131236
65929,76822
114998,124167
217720,113298
98650,121275
169755,173859
143785,115130
105805,86880
129066,172881
154710,137901
203675,165590
186475,150660
104457,131876
119492,113910
304598,235362
824148,456432
169790,168584
132275,182413
559202,193724
111495,102406
977025,540193
272500,237278
677321,409385
205570,224985
350740,188176
206490,186283
113020,116349
740110,459017
281236,104273
100806,89678
410190,192342
730210,469968
113852,129311
132645,100981
301423,234006
143839,128505
301240,226912
117410,134758
152913,94847
86964,85823
226761,194729
153585,176151
96855,124062
264520,176020
241065,175641
121751,140611
135071,145007
239836,149747
67755,59965
148088,111993
255226,269446
175305,141809
98132,114393
144206,153458
125505,163790
67900,91557
84369,81512
121743,114555
166080,170416
372972,302723
300324,123030
168498,142496
68425,74418
151545,147033
138688,120820
96695,120437
379622,201011
147342,135696
174440,116968
223295,160901
106805,112702
101045,120885
101814,111388
109955,93763
391100,179592
111495,111582
160114,117480
145410,115820
166080,163160
149410,134073
123308,121443
280120,171451
117005,113300
114220,110660
298126,101385
485633,296877
92782,116247
136934,109785
50561,30488
109428,72263
133765,122779
128110,96642
111815,111943
92715,91582
146650,125742
293200,269631
179704,113912
152620,98595
72175,98442
105440,69660
130495,103208
130825,166548
77635,57371
111570,82200
121160,126457
96125,104325
379828,163775
146920,96132
214700,124904
239598,135358
69635,30838
116360,73313
181498,88488
148690,113550
129800,72872
163400,124009
72120,96489
259780,173352
104905,85019
63825,52022
120090,127544
301873,119711
116643,108467
183630,122341
115855,103834
164342,126369
155626,129622
65490,40914
125396,124299
145635,132496
188475,150866
107420,109933
116400,96283
164315,106086
491010,299953
113905,87205
62255,70996
98305,59719
117793,70946
329067,130177
148580,66061
164046,78488
312610,123008
134410,128015
541874,219181
125695,123790
78480,42823
163530,102611
162480,94639
151395,110790
95975,75261
77275,52590
96370,82071
1051758,560765
143650,145091
211703,216963
101290,129851
383617,296363
119143,129905
110848,123004
131847,130637
184738,146154
115140,133234
120690,156705
79995,98665
121986,119464
134555,146420
177364,218082
41138,32430
212782,172012
242970,173165
81836,87780
133045,125666
92955,114795
248250,222962
135597,132383
141000,142264
132053,122473
173621,89189
74843,50024
180521,152088
148243,165476
211154,153423
269702,220754
222351,187136
135602,80280
295225,210008
419138,158639
357946,185925
533840,300016
107867,60193
104656,96103
140329,110565
92719,77695
144398,138956
87069,82175
129628,173742
120140,95172
438261,218657
383498,186216
275729,181208
117904,95269
213286,121284
108801,71298
166275,102009
72826,78198
122335,121980
156865,77472
117841,98754
103260,86059
95622,66662
115450,52338
121453,96724
207425,160593
162723,148180
91835,88953
65220,74401
261545,118482
101515,90335
64113,85095
120500,106123
98429,99317
47420,37654
76455,109480
66030,55428
135875,92885
72695,52855
294886,167352
42265,39972
159545,53337
110775,71234
174155,81868
349579,157078
104895,77110
157759,124673
103545,85876
208074,145938
164464,111069
145666,104934
158977,152821
158061,119130
167888,164719
125284,120414
183770,154001
521338,304318
157183,115578
162125,100981
94526,88644
153195,88965
193810,149995
182344,87026
336128,254341
237680,136619
82946,80140
184632,170110
115317,111362
83838,97820
206668,207017
100004,89012
88411,99171
98304,100799
136952,135107
144470,142694
79984,94788
98648,103735
71260,77366
140033,157697
821833,584794
163014,146978
81900,95112
46160,45821
90330,82635
34935,32057
45482,49729
80651,70216
109764,119253
335426,223714
384167,312205
122035,96289
135150,124163
79815,56417
127335,101059
59458,65458
172268,169743
89510,105849
259070,152048
56966,74133
208273,176287
40444,43541
61523,75710
133156,167341
144686,159977
303605,294328
358410,491400
71898,80461
48170,54944
68145,87883
54480,55514
95228,89888
76920,68485
200648,220272
127332,138223
163508,177339
133016,128852
478701,383624
131699,159842
176618,172535
173995,178093
233100,204537
297366,256446
201271,189433
879038,467221
397440,299962
342207,297348
718238,384706
124140,117248
511900,395298
275938,320314
1107119,474031
327272,290526
242800,178526
647108,483733
352952,266143
212350,198925
755000,526992
297180,276137
243548,232806
375770,370232
50722,48272
30367,32763
152834,159460
92243,101404
85409,81214
67940,63972
108468,108224
370960,238592
90946,80062
23253,27214
172427,174804
59415,56300
106323,108898
221671,213284
95212,120476
89356,94786
1570874,921564
963550,358229
115208,113308
714506,698064
92319,96491
681291,487950
1044680,680851
379500,359137
342410,363795
234774,211915
310538,361111
130820,131744
323633,334694
112260,94253
380868,393797
241920,166585
108593,109085
164268,140256
230644,178604
287585,303511
294500,289598
141098,124193
176280,181830
