,amenity,building,shop,office,way
0,place_of_worship,,,,POINT (121.0650407 14.5397932)
1,,,,,POINT (121.0656832 14.5397264)
2,nightclub,,,,POINT (121.0673295 14.5396869)
3,,,car_parts,,POINT (121.067403 14.5400665)
4,,,,,POINT (121.067423 14.5401178)
5,school,,,,POINT (121.068611 14.53961)
6,,,,,POINT (121.0623428 14.541745)
7,place_of_worship,,,,POINT (121.0622804 14.5440335)
8,school,,,,POINT (121.0637386 14.5454755)
9,,,,,POINT (121.0653842 14.5412102)
10,,,,,POINT (121.0639555 14.5418678)
11,,,,,POINT (121.0643834 14.5423868)
12,,,,,POINT (121.0646775 14.542414)
13,,,car,,POINT (121.0671511 14.5404779)
14,bank,,,,POINT (121.0670865 14.5408017)
15,school,,,,POINT (121.0669185 14.541149)
16,bank,,,,POINT (121.0667998 14.5414696)
17,,,car_parts,,POINT (121.0668932 14.5416183)
18,bank,,,,POINT (121.0669853 14.5417349)
19,fuel,,,,POINT (121.0679667 14.5416784)
20,,,convenience,,POINT (121.0668691 14.5418131)
21,,,hardware,,POINT (121.0668169 14.5419485)
22,restaurant,,,,POINT (121.0671896 14.5428123)
23,bank,,,,POINT (121.0672262 14.5428694)
24,fast_food,,,,POINT (121.0671462 14.542969)
25,,,optician,,POINT (121.0673247 14.5429867)
26,clinic,,,,POINT (121.0648686 14.5441534)
27,hospital,,,,POINT (121.0652174 14.5440845)
28,,,,,POINT (121.0661857 14.5444911)
29,fast_food,,,,POINT (121.0661041 14.5450575)
30,fast_food,,,,POINT (121.0663345 14.5450223)
31,,,variety_store,,POINT (121.0664934 14.5449933)
32,fast_food,,,,POINT (121.0665467 14.5449738)
33,,,supermarket,,POINT (121.0654872 14.5453482)
34,,,convenience,,POINT (121.0658056 14.5452437)
35,fast_food,,,,POINT (121.0658539 14.5452781)
36,restaurant,,,,POINT (121.0661687 14.5453128)
37,bank,,,,POINT (121.0659618 14.5454713)
38,bank,,,,POINT (121.0671586 14.543303)
39,school,,,,POINT (121.0670897 14.5433454)
40,bank,,,,POINT (121.0674449 14.5432217)
41,,,bicycle,,POINT (121.0674007 14.5434356)
42,,,car,,POINT (121.0676093 14.5434691)
43,place_of_worship,,,,POINT (121.067305 14.543531)
44,,,electronics,,POINT (121.0677206 14.543736)
45,,,books,,POINT (121.0675606 14.5438592)
46,,,books,,POINT (121.0676128 14.5438933)
47,,,supermarket,,POINT (121.0675534 14.5440496)
48,bank,,,,POINT (121.0675614 14.5441457)
49,,,car,,POINT (121.0678054 14.5438862)
50,,,laundry,,POINT (121.0678496 14.5439869)
51,,,clothes,,POINT (121.0677134 14.5445019)
52,,,bakery,,POINT (121.0680414 14.5443941)
53,,,pawnbroker,,POINT (121.0681129 14.5444376)
54,,,hairdresser,,POINT (121.0683143 14.544298)
55,,,supermarket,,POINT (121.0687344 14.5444006)
56,,,,,POINT (121.0667489 14.5446274)
57,,,convenience,,POINT (121.0668526 14.5447664)
58,restaurant,,,,POINT (121.0669729 14.5447798)
59,,,bakery,,POINT (121.0667379 14.5449519)
60,fast_food,,,,POINT (121.0668305 14.5449037)
61,school,,,,POINT (121.0672563 14.545007)
62,,,convenience,,POINT (121.0676168 14.5447459)
63,,,,,POINT (121.0667343 14.5453908)
64,place_of_worship,,,,POINT (121.0671288 14.5453776)
65,place_of_worship,,,,POINT (121.0672234 14.545486)
66,pharmacy,,,,POINT (121.0679731 14.5445792)
67,bank,,,,POINT (121.0681908 14.5451206)
68,restaurant,,,,POINT (121.0681134 14.5456317)
69,restaurant,,,,POINT (121.0681875 14.5456067)
70,,,,,POINT (121.0695124 14.5423841)
71,,,,,POINT (121.0700304 14.5430016)
72,,,,,POINT (121.0708664 14.5420105)
73,,,,,POINT (121.0703758 14.5436876)
74,,,,,POINT (121.0709374 14.5442059)
75,,,,,POINT (121.0713158 14.5444101)
76,,,,,POINT (121.073625 14.5450315)
77,,,,,POINT (121.0744803 14.5448136)
78,,,,,POINT (121.0743944 14.5450224)
79,,,,,POINT (121.0736894 14.5457533)
80,,,convenience,,POINT (121.0614701 14.5461293)
81,tricycle_station,,,,POINT (121.0644477 14.546282)
82,fast_food,,,,POINT (121.0661995 14.546409)
83,clinic,,,,POINT (121.0668653 14.546127)
84,bank,,,,POINT (121.0687558 14.5459256)
85,,,convenience,,POINT (121.0666161 14.5475802)
86,,,,,POINT (121.068338 14.5476547)
87,fire_station,,,,POINT (121.0652545 14.5490415)
88,police,,,,POINT (121.0654601 14.5490782)
89,,,,,POINT (121.0683804 14.5487405)
90,place_of_worship,,,,POINT (121.0683316 14.549512)
91,,,,,POINT (121.0687136 14.5508113)
92,,,hairdresser,,POINT (121.0635233 14.5529171)
93,,,convenience,,POINT (121.0635548 14.5530411)
94,school,,,,POINT (121.063703 14.5533232)
95,school,,,,POINT (121.0638287 14.5540724)
96,,,,,POINT (121.0655887 14.5522633)
97,,,,,POINT (121.066261 14.553331)
98,,,,,POINT (121.0654632 14.5536933)
99,,,,,POINT (121.0672364 14.551899)
100,school,,,,POINT (121.0684785 14.552085)
101,fuel,,,,POINT (121.0680681 14.5539257)
102,,,,,POINT (121.0692962 14.5537658)
103,,,bakery,,POINT (121.0688666 14.5541035)
104,,,car_repair,,POINT (121.0690356 14.5540049)
105,school,,,,POINT (121.0718454 14.5466082)
106,,,,government,POINT (121.0718393 14.5468059)
107,fuel,,,,POINT (121.0711813 14.5476132)
108,,,,,POINT (121.0707901 14.5480864)
109,,,hairdresser,,POINT (121.0735982 14.5478262)
110,,,,,POINT (121.071839 14.5503828)
111,,,,,POINT (121.0724294 14.5488785)
112,,,beauty,,POINT (121.0731042 14.5497447)
113,,,,,POINT (121.0725483 14.5500289)
114,,,,,POINT (121.0731026 14.5500755)
115,bank,,,,POINT (121.0734191 14.5506285)
116,,,,,POINT (121.0722435 14.5507364)
117,,yes,,,POINT (121.0745892 14.5501024)
118,,,,,POINT (121.0741889 14.5512724)
119,fast_food,,,,POINT (121.0744178 14.5513095)
120,police,,,,POINT (121.0761517 14.5469852)
121,place_of_worship,,,,POINT (121.0769212 14.5463827)
122,place_of_worship,,,,POINT (121.0762456 14.5467385)
123,,,,,POINT (121.0760835 14.5480286)
124,,,,,POINT (121.0762195 14.548895)
125,,,,,POINT (121.0771568 14.5491158)
126,,,,,POINT (121.0771387 14.5497774)
127,,,,,POINT (121.0755109 14.5503861)
128,bank,,,,POINT (121.0753253 14.5509909)
129,,,supermarket,,POINT (121.0751351 14.5511703)
130,bank,,,,POINT (121.0757893 14.5509287)
131,police,,,,POINT (121.0762318 14.5510157)
132,,,,,POINT (121.0769435 14.5513175)
133,public_building,,,,POINT (121.0696805 14.5528456)
134,bank,,,,POINT (121.0694511 14.5536285)
135,bank,,,,POINT (121.0698427 14.5535557)
136,,,convenience,,POINT (121.070635 14.553718)
137,,,car_repair,,POINT (121.0706565 14.5538608)
138,,,car,,POINT (121.0706647 14.5539023)
139,,,appliance,,POINT (121.0719567 14.55353)
140,place_of_worship,,,,POINT (121.0721142 14.5519232)
141,fire_station,,,,POINT (121.0735289 14.5516358)
142,bank,,,,POINT (121.0739467 14.5519041)
143,fast_food,,,,POINT (121.0740513 14.5518632)
144,,,convenience,,POINT (121.0742903 14.5516189)
145,post_office,,,,POINT (121.0742653 14.5516915)
146,,,,,POINT (121.0745208 14.5516053)
147,bank,,,,POINT (121.0747465 14.5515811)
148,fast_food,,,,POINT (121.0741887 14.5517445)
149,fast_food,,,,POINT (121.0743147 14.5520043)
150,pharmacy,,,,POINT (121.0745401 14.5519108)
151,fast_food,,,,POINT (121.0746671 14.5520478)
152,bank,,,,POINT (121.0737058 14.5521782)
153,restaurant,,,,POINT (121.0738191 14.5521183)
154,,yes,,,POINT (121.073837 14.552761)
155,restaurant,,,,POINT (121.0723509 14.5529642)
