date,avg
1990-01,26.96
1990-02,27.57
1990-03,28.04
1990-04,30.34
1990-05,29.82
1990-06,28.54
1990-07,28.18
1990-08,28.33
1990-09,29.05
1990-10,28.17
1990-11,28.02
1990-12,27.21
1991-01,26.81
1991-02,27.45
1991-03,28.48
1991-04,29.95
1991-05,30.44
1991-06,29.79
1991-07,28.68
1991-08,27.38
1991-09,28.01
1991-10,28.47
1991-11,27.28
1991-12,26.81
1992-01,26.34
1992-02,27.29
1992-03,28.78
1992-04,30.09
1992-05,30.16
1992-06,30.02
1992-07,28.33
1992-08,27.84
1992-09,28.4
1992-10,28.62
1992-11,27.61
1992-12,27.66
1993-01,27.37
1993-02,27.88
1993-03,28.81
1993-04,30.47
1993-05,31.3
1993-06,30.58
1993-07,29.06
1993-08,27.99
1993-09,27.78
1993-10,27.7
1993-11,28.11
1993-12,26.84
1994-01,27.26
1994-02,28.21
1994-03,28.73
1994-04,30.31
1994-05,30.36
1994-06,29.56
1994-07,27.46
1994-08,29.18
1994-09,28.88
1994-10,28.98
1994-11,28.71
1994-12,27.93
1995-01,27.31
1995-02,27.37
1995-03,28.78
1995-04,30.29
1995-05,30.47
1995-06,30.47
1995-07,29.05
1995-08,28.32
1995-09,27.48
1995-10,28.16
1995-11,27.97
1995-12,26.06
1996-01,26.24
1996-02,25.72
1996-03,28.62
1996-04,28.93
1996-05,29.7
1996-06,29.46
1996-07,28.37
1996-08,28.54
1996-09,27.91
1996-10,28.9
1996-11,27.42
1996-12,26.35
1997-01,25.91
1997-02,26.97
1997-03,27.63
1997-04,29.76
1997-05,29.82
1997-06,29.09
1997-07,28.1
1997-08,28.32
1997-09,28.28
1997-10,29.01
1997-11,28.9
1997-12,28.36
1998-01,27.69
1998-02,29.35
1998-03,29.23
1998-04,31.15
1998-05,30.99
1998-06,30.14
1998-07,29.92
1998-08,29.09
1998-09,28.14
1998-10,28.55
1998-11,28.93
1998-12,27.39
1999-01,27.39
1999-02,26.98
1999-03,28.62
1999-04,29.19
1999-05,29.87
1999-06,28.25
1999-07,27.82
1999-08,27.81
1999-09,28.12
1999-10,28.22
1999-11,27.68
1999-12,27.37
2000-01,27.09
2000-02,27.37
2000-03,28.4
2000-04,30.39
2000-05,28.93
2000-06,29.17
2000-07,27.48
2000-08,28.62
2000-09,27.96
2000-10,28.87
2000-11,28.39
2000-12,27.35
2001-01,27.45
2001-02,27.41
2001-03,28.4
2001-04,30.58
2001-05,30.34
2001-06,29.28
2001-07,28.42
2001-08,28.59
2001-09,28.37
2001-10,28.57
2001-11,28.07
2001-12,27.19
2002-01,26.52
2002-02,26.55
2002-03,28.22
2002-04,29.6
2002-05,30.04
2002-06,29.99
2002-07,27.59
2002-08,28.55
2002-09,28.15
2002-10,28.77
2002-11,28.02
2002-12,27.97
2003-01,26.55
2003-02,27.26
2003-03,28.4
2003-04,30.32
2003-05,29.74
2003-06,28.59
2003-07,29.03
2003-08,27.83
2003-09,27.74
2003-10,28.58
2003-11,28.46
2003-12,26.83
2004-01,26.97
2004-02,27.09
2004-03,28.66
2004-04,30.21
2004-05,29.78
2004-06,28.34
2004-07,28.65
2004-08,28.13
2004-09,28.93
2004-10,28.39
2004-11,27.87
2004-12,27.04
2005-01,26.15
2005-02,27.57
2005-03,28.12
2005-04,29.52
2005-05,30.46
2005-06,29.09
2005-07,28.7
2005-08,28.14
2005-09,27.87
2005-10,27.95
2005-11,28.35
2005-12,26.87
2006-01,27.14
2006-02,27.6
2006-03,28.78
2006-04,30.22
2006-05,29.87
2006-06,29.57
2006-07,27.98
2006-08,28.03
2006-09,28.69
2006-10,28.44
2006-11,28.94
2006-12,28.01
2007-01,27.54
2007-02,27.54
2007-03,28.86
2007-04,30.3
2007-05,30.06
2007-06,30.25
2007-07,29.47
2007-08,28.15
2007-09,28.51
2007-10,28.23
2007-11,27.39
2007-12,27.75
2008-01,27.3
2008-02,26.82
2008-03,28.29
2008-04,29.99
2008-05,28.74
2008-06,29.62
2008-07,28.48
2008-08,27.99
2008-09,28.43
2008-10,28.69
2008-11,28.24
2008-12,27.13
2009-01,26.1
