class,text
ham,hope good week checking
ham,nice wait texting right gonna pay ticket ya know
ham,okie
ham,yeah quite bit left swing tomorrow get
ham,number
ham,sun ah thk mayb dun anythin thk book e lesson e pilate orchard mrt u noe hor
ham,hi chikku send nice msg
ham,oh love soooo good hear omg missed much today sorry problem provider thank tming
ham,k k tomorrow onwards started ah
ham,two fundamental cool life walk like king walk like dont care whoever king gud nyt
ham,hmm uncle informed paying school directly pls buy food
ham,yes u texted pshew missing much
ham,think need going late school night especially one class one missed last wednesday probably failed test friday
ham,bad girl still remember
ham,oops lt gt
ham,thanks tescos quite nice gone speak soon
ham,pa selected
ham,got lt gt
ham,sorry de went shop
ham,good afternoon love good see word ym get tm smart move slave smile drink coffee await
ham,ok msg u b leave house
ham,pathaya enketa maraikara pa
ham,hi good mornin thanku wish u
ham,leaving house
ham,ok
ham,sorry call later
ham,amazing quote sometimes life difficult decide whats wrong lie brings smile truth brings tear
ham,mm yes dear look hugging p
ham,coming home class right need work shower
ham,u today
ham,lick every drop ready use mouth well
ham,take care n get well soon
ham,hey whats plan sat
ham,ok wif co like try new thing scared u dun like mah co u said loud
ham,know wait check
ham,u want meet morro
ham,way school pls send ashley number
ham,u still painting ur wall
ham,accidentally brought em home box
ham,lot sickness thing going round take easy hope u feel better soon lol
ham,sure stomach
ham,cool shall go see go tip anyway home got something drop later let go town tonight maybe mum take u
ham,may call later pls
ham,much torch ja
ham,ew one
ham,call see facebook huh
ham,k give back thanks
ham,pick ur fone u dumb
ham,shuhui say change suntec steamboat u noe r u
ham,dear ok
ham,ard like dat lor
ham,per request maangalyam alaipayuthe set callertune caller press copy friend callertune
ham,hello per request lt gt r transfered
ham,thanx birthday already
ham,cant pick phone right pls send message
ham,last thing ever wanted hurt think would laugh embarassed delete tag keep going far knew even fact even felt like would hurt show really know messy wednesday bad problem time clean choose skype take picture sleep want go mind thing make bed throw laundry top friend house embarassed underwear bra strewn bed pillow floor something else used good least making bed
ham,dear free message without recharge hi hi hi
ham,used hope agent drop since booked thing year whole boston nyc experiment
ham,yetunde class run water make ok pls
ham,account number
ham,keep seeing weird shit bein woah realising actually reasonable oh
ham,greatest test courage earth bear defeat without losing heart gn tc
ham,cooked rather nice salmon la
ham,called one pick e phone ask already said ok
ham,babe feel let get try cheer fit soo muchxxlove u locaxx
ham,dad say hurry hell
ham,cheer u tex mecause u werebored yeah okden hunny r uin wk sat sound likeyour havin gr fun j keep updat countinlots loveme xxxxx
ham,ok lor thanx school
ham,think still car
ham,wish
ham,sitting mu waiting everyone get suite take shower
ham,hey booked pilate yoga lesson already haha
ham,see requirement please
ham,pls call da happen
ham,feel like trying kadeem v
