,GW
01/01/2019,121.10
01/02/2019,151.82
01/03/2019,175.55
01/04/2019,180.56
01/05/2019,173.11
01/06/2019,164.58
01/07/2019,175.41
01/08/2019,182.13
01/09/2019,183.51
01/10/2019,185.52
01/11/2019,184.71
01/12/2019,179.42
01/13/2019,170.29
01/14/2019,182.03
01/15/2019,184.79
01/16/2019,185.33
01/17/2019,180.71
01/18/2019,179.67
01/19/2019,171.13
01/20/2019,166.32
01/21/2019,179.55
01/22/2019,185.02
01/23/2019,184.47
01/24/2019,181.64
01/25/2019,184.47
01/26/2019,171.09
01/27/2019,158.71
01/28/2019,168.31
01/29/2019,170.20
01/30/2019,172.88
01/31/2019,175.42
02/01/2019,175.33
02/02/2019,169.73
02/03/2019,164.92
02/04/2019,176.29
02/05/2019,166.70
02/06/2019,180.09
02/07/2019,181.44
02/08/2019,183.52
02/09/2019,175.98
02/10/2019,168.64
02/11/2019,184.91
02/12/2019,185.77
02/13/2019,183.30
02/14/2019,181.28
02/15/2019,182.42
02/16/2019,175.12
02/17/2019,166.88
02/18/2019,184.22
02/19/2019,186.64
02/20/2019,185.50
02/21/2019,184.32
02/22/2019,186.11
02/23/2019,176.43
02/24/2019,160.72
02/25/2019,165.39
02/26/2019,184.21
02/27/2019,184.73
02/28/2019,186.21
03/01/2019,187.00
03/02/2019,177.81
03/03/2019,165.70
03/04/2019,191.40
03/05/2019,193.60
03/06/2019,198.70
03/07/2019,202.07
03/08/2019,200.29
03/09/2019,188.39
03/10/2019,180.85
03/11/2019,197.26
03/12/2019,205.13
03/13/2019,205.14
03/14/2019,203.45
03/15/2019,204.09
03/16/2019,189.83
03/17/2019,183.55
03/18/2019,200.62
03/19/2019,205.29
03/20/2019,205.92
03/21/2019,206.65
03/22/2019,205.63
03/23/2019,194.42
03/24/2019,184.79
03/25/2019,199.96
03/26/2019,204.00
03/27/2019,206.80
03/28/2019,211.19
03/29/2019,212.32
03/30/2019,199.35
03/31/2019,189.74
04/01/2019,204.55
04/02/2019,201.71
04/03/2019,205.93
04/04/2019,211.12
04/05/2019,212.81
04/06/2019,206.51
04/07/2019,202.30
04/08/2019,214.57
04/09/2019,203.21
04/10/2019,218.41
04/11/2019,216.22
04/12/2019,213.47
04/13/2019,210.10
04/14/2019,201.15
04/15/2019,214.53
04/16/2019,218.06
04/17/2019,213.52
04/18/2019,179.11
04/19/2019,163.60
04/20/2019,176.49
04/21/2019,189.18
04/22/2019,214.36
04/23/2019,215.96
04/24/2019,222.76
04/25/2019,221.64
04/26/2019,223.32
04/27/2019,211.11
04/28/2019,201.83
04/29/2019,219.38
04/30/2019,221.60
05/01/2019,205.98
05/02/2019,225.64
05/03/2019,224.24
05/04/2019,211.75
05/05/2019,206.26
05/06/2019,217.76
05/07/2019,218.09
05/08/2019,217.46
05/09/2019,217.20
05/10/2019,217.82
05/11/2019,208.05
05/12/2019,200.14
05/13/2019,187.89
05/14/2019,222.32
05/15/2019,230.09
05/16/2019,230.25
05/17/2019,230.24
05/18/2019,221.24
05/19/2019,215.72
05/20/2019,229.50
05/21/2019,229.54
05/22/2019,225.32
05/23/2019,224.70
05/24/2019,224.08
05/25/2019,210.05
05/26/2019,198.74
05/27/2019,209.24
05/28/2019,217.97
05/29/2019,217.19
05/30/2019,221.72
05/31/2019,225.07
06/01/2019,216.19
06/02/2019,207.06
06/03/2019,226.96
06/04/2019,232.41
06/05/2019,215.41
06/06/2019,228.25
06/07/2019,229.95
06/08/2019,218.67
06/09/2019,212.71
06/10/2019,224.17
06/11/2019,227.05
06/12/2019,209.96
06/13/2019,225.65
06/14/2019,222.91
06/15/2019,207.42
06/16/2019,204.50
06/17/2019,224.02
06/18/2019,230.12
06/19/2019,228.24
06/20/2019,231.74
06/21/2019,232.11
06/22/2019,221.13
06/23/2019,212.18
06/24/2019,220.06
06/25/2019,219.34
