,MW
01/01/2017 0:00,2102.1
01/01/2017 1:00,2039.7
01/01/2017 2:00,1940.9
01/01/2017 3:00,1875.2
01/01/2017 4:00,1806.9
01/01/2017 5:00,1773
01/01/2017 6:00,1678
01/01/2017 7:00,1697.4
01/01/2017 8:00,1752.3
01/01/2017 9:00,1848.7
01/01/2017 10:00,1956.6
01/01/2017 11:00,2086.7
01/01/2017 12:00,2100.8
01/01/2017 13:00,2079.6
01/01/2017 14:00,2095.8
01/01/2017 15:00,2072.1
01/01/2017 16:00,2077.5
01/01/2017 17:00,2246.7
01/01/2017 18:00,2330
01/01/2017 19:00,2312.1
01/01/2017 20:00,2286.3
01/01/2017 21:00,2207.2
01/01/2017 22:00,2108
01/01/2017 23:00,2022.4
01/02/2017 0:00,1898.4
01/02/2017 1:00,1800.4
01/02/2017 2:00,1748.3
01/02/2017 3:00,1705.1
01/02/2017 4:00,1696.8
01/02/2017 5:00,1767.7
01/02/2017 6:00,1782.7
01/02/2017 7:00,1921.2
01/02/2017 8:00,2134.2
01/02/2017 9:00,2373.9
01/02/2017 10:00,2471.3
01/02/2017 11:00,2519.5
01/02/2017 12:00,2513.9
01/02/2017 13:00,2534.9
01/02/2017 14:00,2535.9
01/02/2017 15:00,2527.4
01/02/2017 16:00,2505.1
01/02/2017 17:00,2749.2
01/02/2017 18:00,2761.7
01/02/2017 19:00,2751.4
01/02/2017 20:00,2681.2
01/02/2017 21:00,2515.1
01/02/2017 22:00,2352
01/02/2017 23:00,2248.6
01/03/2017 0:00,2129.1
01/03/2017 1:00,2039.9
01/03/2017 2:00,1948.8
01/03/2017 3:00,1931.9
01/03/2017 4:00,1979.3
01/03/2017 5:00,2102.9
01/03/2017 6:00,2302
01/03/2017 7:00,2725.5
01/03/2017 8:00,3150.4
01/03/2017 9:00,3361.9
01/03/2017 10:00,3570.9
01/03/2017 11:00,3527.6
01/03/2017 12:00,3526.4
01/03/2017 13:00,3681.6
01/03/2017 14:00,3622.9
01/03/2017 15:00,3576.8
01/03/2017 16:00,3423.8
01/03/2017 17:00,3394
01/03/2017 18:00,3307.9
01/03/2017 19:00,3180.6
01/03/2017 20:00,3057.4
01/03/2017 21:00,2883.8
01/03/2017 22:00,2727.9
01/03/2017 23:00,2470.7
01/04/2017 0:00,2369.9
01/04/2017 1:00,2270.5
01/04/2017 2:00,2131.2
01/04/2017 3:00,2165.5
01/04/2017 4:00,2210
01/04/2017 5:00,2329.6
01/04/2017 6:00,2431.1
01/04/2017 7:00,2860.3
01/04/2017 8:00,3317.5
01/04/2017 9:00,3561.8
01/04/2017 10:00,3680.3
01/04/2017 11:00,3650.3
01/04/2017 12:00,3622.9
01/04/2017 13:00,3753.6
01/04/2017 14:00,3741.5
01/04/2017 15:00,3661.6
01/04/2017 16:00,3476.2
01/04/2017 17:00,3438.7
01/04/2017 18:00,3335.3
01/04/2017 19:00,3208
01/04/2017 20:00,3096.5
01/04/2017 21:00,2953.7
01/04/2017 22:00,2773.4
01/04/2017 23:00,2607.3
01/05/2017 0:00,2431.4
01/05/2017 1:00,2377.4
01/05/2017 2:00,2278.3
01/05/2017 3:00,2233
01/05/2017 4:00,2259.8
01/05/2017 5:00,2353.7
01/05/2017 6:00,2579.2
01/05/2017 7:00,2950.8
01/05/2017 8:00,3324.2
01/05/2017 9:00,3567.1
01/05/2017 10:00,3658.2
01/05/2017 11:00,3557.9
01/05/2017 12:00,3496.1
01/05/2017 13:00,3635.2
01/05/2017 14:00,3634.1
01/05/2017 15:00,3578.5
01/05/2017 16:00,3443.4
01/05/2017 17:00,3419
01/05/2017 18:00,3302.5
01/05/2017 19:00,3198.3
01/05/2017 20:00,3022.1
01/05/2017 21:00,2904.5
01/05/2017 22:00,2727.2
01/05/2017 23:00,2544.6
01/06/2017 0:00,2387.8
01/06/2017 1:00,2268.9
01/06/2017 2:00,2207.1
01/06/2017 3:00,2145.2
01/06/2017 4:00,2224.7
01/06/2017 5:00,2259.3
01/06/2017 6:00,2392.5
01/06/2017 7:00,2787.9
01/06/2017 8:00,3143.3
01/06/2017 9:00,3474.3
01/06/2017 10:00,3620.1
01/06/2017 11:00,3535.5
01/06/2017 12:00,3512.5
01/06/2017 13:00,3657.9
01/06/2017 14:00,3646.8
01/06/2017 15:00,3597.4
01/06/2017 16:00,3410.4
01/06/2017 17:00,3412.3
01/06/2017 18:00,3291.9
01/06/2017 19:00,3156.7
01/06/2017 20:00,3048
01/06/2017 21:00,2909.2
01/06/2017 22:00,2699.4
01/06/2017 23:00,2520.5
01/07/2017 0:00,2372.3
01/07/2017 1:00,2275.3
01/07/2017 2:00,2210.2
01/07/2017 3:00,2127.9
01/07/2017 4:00,2123.5
01/07/2017 5:00,2144.4
01/07/2017 6:00,2205.3
01/07/2017 7:00,2466.9
01/07/2017 8:00,2766.7
01/07/2017 9:00,3063.2
01/07/2017 10:00,3246.1
01/07/2017 11:00,3188.9
01/07/2017 12:00,3146.9
01/07/2017 13:00,3270.6
01/07/2017 14:00,3194.7
01/07/2017 15:00,3128.1
01/07/2017 16:00,3021.3
01/07/2017 17:00,3094.3
01/07/2017 18:00,3101.9
01/07/2017 19:00,2999.3
01/07/2017 20:00,2891.4
01/07/2017 21:00,2789.1
01/07/2017 22:00,2573.8
01/07/2017 23:00,2410.9
01/08/2017 0:00,2271.3
01/08/2017 1:00,2168.3
