province,municipality,Feb-60,May-70,May-75,May-80,May-90,Sep-95,May-00,Aug-07,May-10,Aug-15,is_total
Abra,ABRA,115193,145058,147010,160198,184743,195964,209491,230953,234733,241160,1
Abra,BANGUED (CAPITAL),19368,24587,25597,28666,34184,35450,38965,46179,43936,48163,0
Abra,BOLINEY,2326,3175,2902,3060,3773,3156,3340,3349,4063,3573,0
Abra,BUCAY,7473,9937,11337,12375,13346,14499,14881,16266,17126,17115,0
Abra,BUCLOC,1152,1401,1447,1605,1932,1919,2109,2227,2176,2501,0
Abra,DAGUIOMAN,1003,1050,1124,1254,1413,1475,1748,1916,1715,2088,0
Abra,DANGLAS,2475,2508,2572,2657,3042,4285,4144,5411,4734,4192,0
Abra,DOLORES,5065,6751,6767,7615,8577,9560,9949,10787,11499,11315,0
Abra,LA PAZ,6808,8527,8529,9205,11240,11756,12922,14658,14882,15437,0
Abra,LACUB,1424,1706,1927,2038,2326,2202,2782,3050,2977,3403,0
Abra,LAGANGILANG,6762,8905,8532,9466,11248,12023,12073,13490,13824,14255,0
Abra,LAGAYAN,2750,3182,3372,3827,3771,3412,3894,4134,4477,4499,0
Abra,LANGIDEN,1743,2558,2194,2256,2452,2729,2998,3242,3170,3198,0
Abra,LICUAN-BAAY (LICUAN),2066,2821,3144,3094,3697,3866,3812,3990,4864,4689,0
Abra,LUBA,3710,5666,4712,4911,5563,5559,6203,6363,6391,6339,0
Abra,MALIBCONG,2163,3158,2817,3108,3494,3870,3806,3354,3807,3428,0
Abra,MANABO,4111,6009,5384,6590,7797,8633,9643,10538,10756,10761,0
Abra,PEÑARRUBIA,3117,3955,3737,4096,4893,5048,5515,6443,6544,6640,0
Abra,PIDIGAN,5414,6605,6897,7162,8807,9098,10183,11280,11528,12185,0
Abra,PILAR,6025,6959,7453,7518,8451,9183,9328,9792,9908,10223,0
Abra,SALLAPADAN,3450,3551,3838,4274,4941,5303,5497,6370,5985,6622,0
Abra,SAN ISIDRO,2605,3098,2924,3087,3744,3842,4293,4647,4888,4574,0
Abra,SAN JUAN,5400,6833,6989,7233,8445,8461,8821,9714,10546,9867,0
Abra,SAN QUINTIN,2495,3259,3374,3574,4293,4999,5130,5341,5233,5438,0
Abra,TAYUM,7025,8211,9126,9621,11045,12346,12539,13360,13940,14467,0
Abra,TINEG,1871,2254,2432,2988,3068,4312,4995,4317,4668,5097,0
Abra,TUBO,4198,4386,4018,4985,4589,4344,5044,5588,5719,5699,0
Abra,VILLAVICIOSA,3194,4006,3865,3933,4612,4634,4877,5147,5377,5392,0
Agusan del Norte,AGUSAN DEL NORTE *,94848,146959,168053,192932,237629,267411,285570,309338,332487,354503,1
Agusan del Norte,BUENAVISTA,17927,24753,28682,31531,39331,45011,50612,53059,56139,61614,0
Agusan del Norte,CARMEN,9593,12851,13882,14595,15503,15967,17307,18116,19781,20839,0
Agusan del Norte,CITY OF CABADBARAN,26216,34729,36770,42695,46370,51905,55006,61564,69241,73639,0
Agusan del Norte,JABONGA,14721,12129,14742,15912,18610,20196,20501,23052,23833,23184,0
Agusan del Norte,KITCHARAO,,9960,10524,11785,13598,14679,15950,16737,17377,18659,0
Agusan del Norte,LAS NIEVES,4262,6782,8609,10757,15409,22966,21530,25203,26856,28414,0
Agusan del Norte,MAGALLANES,,7377,11412,15994,16211,17523,19895,20930,21481,21007,0
Agusan del Norte,NASIPIT,14996,23306,25289,29905,34084,34255,35817,38096,40663,41957,0
Agusan del Norte,REMEDIOS T. ROMUALDEZ,,,,,10490,12621,13359,14976,15735,16058,0
Agusan del Norte,SANTIAGO,,5005,6470,7663,12775,15616,17925,18931,20955,24200,0
Agusan del Norte,TUBAY,7133,10067,11673,12095,15248,16672,17668,18674,20426,24932,0
Agusan del Sur,AGUSAN DEL SUR,93677,174682,213216,265030,420763,514736,559294,609447,656418,700653,1
Agusan del Sur,BUNAWAN,11423,8646,9603,12719,21105,24615,26704,35757,37482,45151,0
Agusan del Sur,CITY OF BAYUGAN,,37816,43603,56367,78725,89999,93623,95032,99361,103202,0
Agusan del Sur,ESPERANZA,31825,21051,23377,25257,36139,42118,44151,47659,51897,54801,0
Agusan del Sur,LA PAZ,5746,7971,12634,14389,16144,23044,20880,25214,28562,28217,0
Agusan del Sur,LORETO,6248,13057,16264,18781,21133,24022,31365,34549,39474,42501,0
Agusan del Sur,PROSPERIDAD (CAPITAL),12438,23328,26557,33824,51189,61804,70815,75390,76628,82631,0
