,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
0,-73.978165,40.757977,-73.989838,40.751171
1,-74.006683,40.731781,-73.994499,40.75066
2,-74.004707,40.73777,-74.009834,40.726002
3,-73.974602,40.759945,-73.984734,40.759388
4,-73.97625,40.748528,-74.002586,40.747868
5,-73.966743,40.764252,-73.983322,40.743763
6,-73.995804,40.743977,-74.007416,40.744343
7,-73.989937,40.756775,-73.86525,40.77063
8,-73.980072,40.743137,-73.982712,40.735336
9,-73.977936,40.786983,-73.952919,40.80637
10,-73.982452,40.773167,-73.964134,40.773815
11,-73.99556,40.749294,-73.988686,40.759052
12,-73.971497,40.791321,-73.964478,40.775921
13,-73.98851,40.774307,-73.981094,40.755325
14,-73.994911,40.723221,-73.971558,40.761612
15,-74.010391,40.708702,-73.987846,40.756104
16,-73.973732,40.756287,-73.998413,40.756832
17,-73.968925,40.767704,-73.96199,40.776566
18,-73.96212,40.769737,-73.979561,40.75539
19,-73.989708,40.756714,-73.977615,40.787575
20,-73.78331,40.648766,-73.988914,40.748207
21,-73.956505,40.771278,-73.996368,40.73246
22,-73.95578,40.77932,-73.967285,40.763344
23,-73.978439,40.764679,-73.977684,40.777004
24,-73.992172,40.749954,-73.99675,40.744553
25,-73.992111,40.689701,-74.007156,40.679295
26,-73.978653,40.787735,-73.96579,40.805321
27,-73.965317,40.769375,-73.967133,40.763699
28,-73.862709,40.769142,-73.982079,40.762295
29,-73.977127,40.74831,-73.990913,40.751053
30,-73.976318,40.682724,-73.917915,40.742664
31,-73.966682,40.761139,-73.938515,40.792332
32,-73.948334,40.776482,-73.99176,40.733841
33,-73.993202,40.724407,-73.984833,40.748741
34,-73.9655,40.711113,-73.918327,40.758671
35,-73.991936,40.749622,-73.978531,40.751308
36,-73.982384,40.752102,-73.993332,40.736393
37,-73.993828,40.721008,-73.9524,40.723228
38,-73.991142,40.750366,-73.984436,40.618481
39,-73.987022,40.759373,-73.862022,40.768017
40,-73.991173,40.74313,-74.013763,40.702297
41,-73.99115,40.750023,-73.952614,40.74115
42,-73.989342,40.763168,-73.991577,40.750309
43,-73.959496,40.779442,-73.960724,40.775745
44,-73.904716,40.726418,-73.984154,40.760082
45,-73.95871,40.768471,-73.973656,40.763348
46,-73.873154,40.773998,-73.92878,40.859314
47,-73.990623,40.756813,-73.982101,40.758984
48,-73.965843,40.758705,-73.978134,40.752731
49,-73.981796,40.758862,-73.967239,40.7617
50,-73.977318,40.764542,-73.981895,40.779526
51,-73.986534,40.7342,-73.987869,40.75914
52,-73.96666,40.773125,-73.971802,40.765766
53,-73.958649,40.768791,-73.970909,40.76149
54,-73.975922,40.744606,-73.998146,40.729076
55,-73.963608,40.774113,-73.944038,40.717518
56,-73.958481,40.761166,-73.986542,40.749397
57,-73.985573,40.747375,-73.983879,40.739223
58,-73.985184,40.773998,-73.964737,40.801834
59,-73.967682,40.751221,-73.995232,40.717422
60,-74.007469,40.708904,-73.981888,40.67767
61,-73.9925,40.758308,-73.96714,40.76078
62,-73.982315,40.774441,-73.965904,40.801422
63,-73.977676,40.746544,-73.999458,40.738972
64,-73.987732,40.751884,-73.98172,40.746529
65,-73.864861,40.770428,-74.006653,40.707874
66,-73.979706,40.758427,-73.985558,40.747265
67,-73.988495,40.737442,-73.988106,40.7491
68,-73.980118,40.754601,-73.988045,40.748962
69,-74.004578,40.707554,-73.99247,40.734222
70,-73.945915,40.786156,-73.971581,40.794956
71,-73.790016,40.644058,-73.956703,40.747852
72,-73.998337,40.746025,-73.981255,40.747223
73,0.0,0.0,0.0,0.0
74,-73.982079,40.763794,-74.003113,40.731106
75,-73.99469,40.750191,-73.990089,40.757217
76,-73.947601,40.77533,-73.978798,40.777584
77,-73.987099,40.755215,-73.974457,40.755589
78,-73.98793,40.749542,-73.978981,40.766735
79,-73.989296,40.756313,-73.987885,40.751122
80,-73.961678,40.756123,-73.969917,40.753159
81,-73.946854,40.775887,-73.961754,40.77993
82,-73.986847,40.762066,-74.002892,40.760334
83,-73.986351,40.738503,-73.981422,40.74744
84,-73.9879,40.737755,-73.979568,40.730965
85,-73.998299,40.740654,-74.000504,40.747913
86,-74.003059,40.723473,-73.976883,40.751884
87,-73.952026,40.766479,-73.966827,40.759968
88,-73.945396,40.80209,-73.945412,40.802025
89,-73.983917,40.746563,-73.990921,40.750141
90,-73.984734,40.76931,-73.997787,40.744205
91,-73.976288,40.765472,-73.975105,40.757393
92,-73.995102,40.744781,-73.992508,40.738434
93,-73.972366,40.762138,-73.957542,40.782902
94,-74.00679,40.754345,-73.980316,40.784081
95,0.0,0.0,0.0,0.0
96,-74.005058,40.728676,-73.977501,40.757061
97,-73.960358,40.769138,-73.961914,40.775684
98,-73.874374,40.774078,-73.978325,40.764835
99,0.0,0.0,0.0,0.0
