house_bill_number,title,significance,date_filed,principal_authors,date_read,primary_referral,mother_bill_status,status
HB00001,"AN ACT INSTITUTIONALIZING A NATIONAL VALUES, ETIQUETTE, AND MORAL UPRIGHTNESS PROGRAM",NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.; MADRONA. ELEANDRO JESUS F.; UNGAB, ISIDRO T.; ",2019-07-23,BASIC EDUCATION AND CULTURE,Republic Act RA11476 enacted on 2020-06-25,Substituted by HB05829
HB00002,"AN ACT CREATING THE DEPARTMENT OF OVERSEAS FILIPINO WORKERS (OFW) AND FOREIGN EMPLOYMENT, DEFINING ITS POWERS AND FUNCTIONS, APPROPRIATING FUNDS THEREFOR, RATIONALIZING THE ORGANIZATION AND FUNCTIONS OF GOVERNMENT AGENCIES RELATED TO MIGRATION, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.; CAYETANO, MARIA LAARNI; DUTERTE, PAOLO Z.; ",2019-07-23,GOVERNMENT REORGANIZATION,"Approved by the House on 2020-03-11, transmitted to the Senate on 2020-03-16 and received by the Senate on 2020-03-16",Substituted by HB05832
HB00003,"AN ACT PROVIDING FOR A NATIONAL PROGRAM TO SUPPORT AND CARE FOR THE ABANDONED, NEGLECTED, AND VOLUNTARY COMMITTED CHILDREN, CREATING A SPECIAL TRUST FUND, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.",2019-07-23,WELFARE OF CHILDREN,,Transmitted to the Committee on Appropriations on 2019-11-13
HB00004,"AN ACT CREATING THE EMERGENCY RESPONSE DEPARTMENT (ERD), APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.; DUTERTE, PAOLO Z.; ",2019-07-23,GOVERNMENT REORGANIZATION,"Approved by the House on 2020-09-22, transmitted to the Senate on 2020-09-24 and received by the Senate on 2020-09-24",Substituted by HB05989
HB00005,"AN ACT INSTITUTIONALIZING MICROFINANCE PROGRAMS AND ACCESS TO CAPITAL TO SUPPORT AND GROW MICRO, SMALL, AND MEDIUM ENTERPRISES (MSMEs), ALLOCATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.",2019-07-23,"MICRO, SMALL AND MEDIUM ENTERPRISE DEVELOPMENT",,"Pending with the Committee on MICRO, SMALL AND MEDIUM ENTERPRISE DEVELOPMENT since 2019-07-23"
HB00006,AN ACT PROVIDING FOR ADDITIONAL SUPPORT AND COMPENSATION FOR EDUCATORS IN BASIC EDUCATION,NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.",2019-07-23,APPROPRIATIONS,Republic Act RA11466 enacted on 2020-01-08,Consolidated into HB05712
HB00007,"AN ACT CREATING A DEPARTMENT OF FISHERIES AND AQUATIC RESOURCES PROVIDING FOR ITS POWERS AND FUNCTIONS, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.",2019-07-23,GOVERNMENT REORGANIZATION,,Pending with the Committee on GOVERNMENT REORGANIZATION since 2019-07-23
HB00008,"AN ACT ESTABLISHING THE NATIONAL HEALTH PASSPORT SYSTEM AND STRENGTHENING THE PRIMARY HEALTHCARE SYSTEM, APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.",2019-07-23,HEALTH,,Pending with the Committee on HEALTH since 2019-07-23
HB00009,"AN ACT ESTABLISHING A NATIONAL ECONOMIC DECENTRALIZATION PLAN TO FACILITATE FURTHER GROWTH IN ALL REGIONS OF THE PHILIPPINES, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.",2019-07-23,ECONOMIC AFFAIRS,,Pending with the Committee on ECONOMIC AFFAIRS since 2019-07-23
HB00010,"AN ACT DECLARING THE COCONUT LEVY ASSETS AS A TRUST FUND, PROVIDING FOR ITS MANAGEMENT AND UTILIZATION, AUTHORIZING THE PRIVATIZATION AND MANAGEMENT OFFICE TO DISPOSE THE COCONUT LEVY ASSETS, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"CAYETANO, ALAN PETER ""COMPAÑERO"" S.",2019-07-23,AGRICULTURE AND FOOD,Republic Act RA11524 enacted on 2021-02-26,Substituted by HB08136
HB00011,"AN ACT CREATING THE MEGA CEBU DEVELOPMENT AUTHORITY, PRESCRIBING ITS FUNCTIONS AND DUTIES, AND PROVIDING FUNDS THEREFOR",LOCAL,2019-07-01,"DEL MAR, RAUL V.",2019-07-23,GOVERNMENT ENTERPRISES AND PRIVATIZATION,,Pending with the Committee on GOVERNMENT ENTERPRISES AND PRIVATIZATION since 2020-08-26
HB00012,AN ACT STRENGTHENING THE PEOPLE'S RIGHT TO INFORMATION,NATIONAL,2019-07-01,"DEL MAR, RAUL V.",2019-07-23,PUBLIC INFORMATION,,Pending with the Committee on PUBLIC INFORMATION since 2019-07-23
HB00013,"AN ACT ALLOWING AND REGULATING THE USE OF MOTORCYCLES AS PUBLIC UTILITY VEHICLES, AMENDING FOR THIS PURPOSE REPUBLIC ACT NO. 4136, OTHERWISE KNOWN AS THE LAND TRANSPORTATION AND TRAFFIC CODE, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"DEL MAR, RAUL V.",2019-07-23,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-23
HB00014,AN ACT PROVIDING FOR A LIGHT RAIL TRANSPORT (LRT) SYSTEM OR METRO RAIL TRANSPORT (MRT) SYSTEM OR MONORAIL TRANSPORT SYSTEM OR SUCH OTHER APPROPRIATE MODERN MASS TRANSPORT SYSTEM IN THE CITY OF CEBU AND METRO CEBU,LOCAL,2019-07-01,"DEL MAR, RAUL V.",2019-07-23,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-23
HB00015,"AN ACT DEFINING THE RIGHTS AND FUNDAMENTAL FREEDOMS OF HUMAN RIGHTS DEFENDERS, DECLARING STATE RESPONSIBILITIES, AND INSTITUTING EFFECTIVE MECHANISMS FOR THE PROTECTION AND PROMOTION OF THESE RIGHTS AND FREEDOMS",NATIONAL,2019-07-01,"LAGMAN, EDCEL C.",2019-07-23,HUMAN RIGHTS,,Pending with the Committee on HUMAN RIGHTS since 2019-07-23
